Timestamp,Distance (cm)
2024-08-15 00:04:32,5.1
2024-08-15 00:04:33,5.1
2024-08-15 00:04:34,5.1
2024-08-15 00:04:35,5.1
2024-08-15 00:04:36,5.1
2024-08-15 00:04:37,5.1
2024-08-15 00:04:38,5.1
2024-08-15 00:04:39,5.1
2024-08-15 00:04:40,5.1
2024-08-15 00:04:41,5.1
2024-08-15 00:04:42,5.1
2024-08-15 00:04:43,5.1
2024-08-15 00:04:44,5.1
2024-08-15 00:04:45,5.1
2024-08-15 00:04:46,5.1
2024-08-15 00:04:47,5.1
2024-08-15 00:04:48,5.1
2024-08-15 00:04:49,5.1
2024-08-15 00:04:50,5.1
2024-08-15 00:04:51,5.1
2024-08-15 00:04:52,5.1
2024-08-15 00:04:53,5.1
2024-08-15 00:04:54,5.1
2024-08-15 00:04:55,5.1
2024-08-15 00:04:56,5.1
2024-08-15 00:04:57,5.1
2024-08-15 00:04:58,5.1
2024-08-15 00:04:59,5.1
2024-08-15 00:05:00,5.1
2024-08-15 00:05:01,5.1
2024-08-15 00:05:02,5.1
2024-08-15 00:05:03,5.1
2024-08-15 00:05:04,5.1
2024-08-15 00:05:05,5.1
2024-08-15 00:05:06,5.1
2024-08-15 00:05:07,5.1
2024-08-15 00:05:08,5.1
2024-08-15 00:05:09,5.1
2024-08-15 00:05:10,5.1
2024-08-15 00:05:11,5.1
2024-08-15 00:05:12,5.1
2024-08-15 00:05:13,5.1
2024-08-15 00:05:14,5.1
2024-08-15 00:05:15,5.1
2024-08-15 00:05:16,5.1
2024-08-15 00:05:17,5.1
2024-08-15 00:05:18,5.1
2024-08-15 00:05:19,5.1
2024-08-15 00:05:20,5.1
2024-08-15 00:05:21,5.1
2024-08-15 00:05:22,5.1
2024-08-15 00:05:23,5.1
2024-08-15 00:05:24,5.1
2024-08-15 00:05:25,5.1
2024-08-15 00:05:26,5.1
2024-08-15 00:05:27,5.1
2024-08-15 00:05:28,5.1
2024-08-15 00:05:29,5.1
2024-08-15 00:05:30,5.1
2024-08-15 00:05:31,5.1
2024-08-15 00:05:32,5.1
2024-08-15 00:05:33,5.1
2024-08-15 00:05:34,5.1
2024-08-15 00:05:35,5.1
2024-08-15 00:05:36,5.1
2024-08-15 00:05:37,5.1
2024-08-15 00:05:38,5.1
2024-08-15 00:05:39,5.1
2024-08-15 00:05:40,5.1
2024-08-15 00:05:41,5.1
2024-08-15 00:05:42,5.1
2024-08-15 00:05:43,5.1
2024-08-15 00:05:44,5.1
2024-08-15 00:05:45,5.1
2024-08-15 00:05:46,5.1
2024-08-15 00:05:47,5.1
2024-08-15 00:05:48,5.1
2024-08-15 00:05:49,5.1
2024-08-15 00:05:50,5.1
2024-08-15 00:05:51,5.1
2024-08-15 00:05:52,5.1
2024-08-15 00:05:53,5.1
2024-08-15 00:05:54,5.1
2024-08-15 00:05:55,5.1
2024-08-15 00:05:56,5.1
2024-08-15 00:05:57,5.1
2024-08-15 00:05:58,5.1
2024-08-15 00:05:59,5.1
2024-08-15 00:06:00,5.1
2024-08-15 00:06:01,5.1
2024-08-15 00:06:02,5.1
2024-08-15 00:06:03,5.1
2024-08-15 00:06:04,5.1
2024-08-15 00:06:05,5.1
2024-08-15 00:06:06,5.1
2024-08-15 00:06:07,5.1
2024-08-15 00:06:08,5.1
2024-08-15 00:06:09,5.1
2024-08-15 00:06:10,5.1
2024-08-15 00:06:11,5.1
2024-08-15 00:06:12,5.1
2024-08-15 00:06:13,5.1
2024-08-15 00:06:14,5.1
2024-08-15 00:06:15,5.1
2024-08-15 00:06:16,5.1
2024-08-15 00:06:17,5.1
2024-08-15 00:06:18,5.1
2024-08-15 00:06:19,5.1
2024-08-15 00:06:20,5.1
2024-08-15 00:06:21,5.1
2024-08-15 00:06:22,5.1
2024-08-15 00:06:23,5.1
2024-08-15 00:06:24,5.1
2024-08-15 00:06:25,5.1
2024-08-15 00:06:26,5.1
2024-08-15 00:06:27,5.1
2024-08-15 00:06:28,5.1
2024-08-15 00:06:29,5.1
2024-08-15 00:06:30,5.1
2024-08-15 00:06:31,5.1
2024-08-15 00:06:32,5.1
2024-08-15 00:06:33,5.1
2024-08-15 00:06:34,5.1
2024-08-15 00:06:35,5.1
2024-08-15 00:06:36,5.1
2024-08-15 00:06:37,5.1
2024-08-15 00:06:38,5.1
2024-08-15 00:06:39,5.1
2024-08-15 00:06:40,5.1
2024-08-15 00:06:41,5.1
2024-08-15 00:06:42,5.1
2024-08-15 00:06:43,5.1
2024-08-15 00:06:44,5.1
2024-08-15 00:06:45,5.1
2024-08-15 00:06:46,5.1
2024-08-15 00:06:47,5.1
2024-08-15 00:06:48,5.1
2024-08-15 00:06:49,5.1
2024-08-15 00:06:50,5.1
2024-08-15 00:06:51,5.1
2024-08-15 00:06:52,5.1
2024-08-15 00:06:53,5.1
2024-08-15 00:06:54,5.1
2024-08-15 00:06:55,5.1
2024-08-15 00:06:56,5.1
2024-08-15 00:06:57,5.1
2024-08-15 00:06:58,5.1
2024-08-15 00:06:59,5.1
2024-08-15 00:07:00,5.1
2024-08-15 00:07:01,5.1
2024-08-15 00:07:02,5.1
2024-08-15 00:07:03,5.1
2024-08-15 00:07:04,5.1
2024-08-15 00:07:05,5.1
2024-08-15 00:07:06,5.1
2024-08-15 00:07:07,5.1
2024-08-15 00:07:08,5.1
2024-08-15 00:07:09,5.1
2024-08-15 00:07:10,5.1
2024-08-15 00:07:11,5.1
2024-08-15 00:07:12,5.1
2024-08-15 00:07:13,5.1
2024-08-15 00:07:14,5.1
2024-08-15 00:07:15,5.1
2024-08-15 00:07:16,5.1
2024-08-15 00:07:17,5.1
2024-08-15 00:07:18,5.1
2024-08-15 00:07:19,5.1
2024-08-15 00:07:20,5.1
